PLAYER,POS,TEAM,GAME,FP,FD EXP,DK EXP,INN,K,HA,ER,BBI,RBI,R,H,DK,FD,OWNERSHIP
Owen Miller,SS,CLE,CLE@LAA,1.57,5.89,4.44,,,,,,0.37,0.3,0.58,4.44,5.89,80
Jose Iglesias,2B,COL,COL@PHI,1.57,5.67,4.41,,,,,,0.29,0.3,0.69,4.41,5.67,6
Andrelton Simmons,SS,CHC,CHC@ATL,1.55,5.7,4.56,,,,,,0.23,0.25,0.82,4.56,5.7,2
Abraham Toro-Hernandez,2B,SEA,SEA@TB,1.55,5.63,4.27,,,,,,0.29,0.28,0.54,4.27,5.63,8
Josh Lowe,CF,TB,SEA@TB,1.54,6.06,4.55,,,,,,0.32,0.36,0.54,4.55,6.06,43
Stephen Piscotty,RF,OAK,OAK@SF,1.53,6.24,4.93,,,,,,0.23,0.27,0.79,4.93,6.24,2
Victor Robles,CF,WAS,MIA@WAS,1.5,6.46,4.81,,,,,,0.23,0.34,0.61,4.81,6.46,8
Nick Ahmed,SS,ARI,LAD@ARI,1.48,6.36,4.91,,,,,,0.27,0.3,0.72,4.91,6.36,4
David Fletcher,2B,LAA,CLE@LAA,1.48,5.46,4.31,,,,,,0.2,0.38,0.71,4.31,5.46,12
Austin Hedges,C,CLE,CLE@LAA,1.47,5.63,4.23,,,,,,0.34,0.31,0.52,4.23,5.63,2
Keibert Ruiz,C,WAS,MIA@WAS,1.46,5.31,4.07,,,,,,0.27,0.25,0.59,4.07,5.31,83
Jed Lowrie,1B,OAK,OAK@SF,1.43,5.43,4.23,,,,,,0.24,0.26,0.66,4.23,5.43,3
Trevor Larnach,RF,MIN,DET@MIN,1.39,5.25,3.96,,,,,,0.26,0.28,0.49,3.96,5.25,6
Darin Ruf,OF,SF,OAK@SF,1.39,5.36,4.04,,,,,,0.27,0.28,0.5,4.04,5.36,15
Daniel Vogelbach,1B,PIT,MIL@PIT,1.37,5.18,3.93,,,,,,0.24,0.3,0.5,3.93,5.18,18
Martin Maldonado,C,HOU,HOU@TEX,1.36,5.25,3.82,,,,,,0.31,0.3,0.37,3.82,5.25,2
Tucker Barnhart,C,DET,DET@MIN,1.35,5.57,4.29,,,,,,0.28,0.26,0.65,4.29,5.57,6
Andy Ibanez,3B,TEX,HOU@TEX,1.35,4.94,3.76,,,,,,0.25,0.28,0.49,3.76,4.94,4
Joey Bart,C,SF,OAK@SF,1.34,5.57,4.22,,,,,,0.27,0.29,0.53,4.22,5.57,60
Rougned Odor,2B,BAL,BAL@NYY,1.33,5.38,4.09,,,,,,0.3,0.22,0.52,4.09,5.38,4
Jorge Mateo,2B,BAL,BAL@NYY,1.32,5.57,4.27,,,,,,0.22,0.25,0.53,4.27,5.57,30
Ramon Urias,2B,BAL,BAL@NYY,1.31,5.25,4.1,,,,,,0.24,0.25,0.64,4.1,5.25,4
Kevin Newman,2B,PIT,MIL@PIT,1.3,4.88,3.77,,,,,,0.26,0.23,0.6,3.77,4.88,2
Maikel Franco,3B,WAS,MIA@WAS,1.28,4.61,3.5,,,,,,0.35,0.18,0.51,3.5,4.61,19
Taylor Walls,SS,TB,SEA@TB,1.28,5.09,3.86,,,,,,0.24,0.26,0.48,3.86,5.09,3
Alejandro Kirk,C,TOR,BOS@TOR,1.28,4.63,3.53,,,,,,0.22,0.21,0.49,3.53,4.63,59
Lane Thomas,OF,WAS,MIA@WAS,1.27,4.99,3.76,,,,,,0.28,0.24,0.46,3.76,4.99,13
Carson Kelly,C,ARI,LAD@ARI,1.25,5.13,3.93,,,,,,0.22,0.25,0.55,3.93,5.13,37
Kyle Higashioka,C,NYY,BAL@NYY,1.25,4.86,3.64,,,,,,0.3,0.24,0.45,3.64,4.86,14
Seth Brown,1B,OAK,OAK@SF,1.24,5.11,3.93,,,,,,0.22,0.24,0.55,3.93,5.11,14
Jackie Bradley,CF,BOS,BOS@TOR,1.24,5.13,3.93,,,,,,0.2,0.25,0.54,3.93,5.13,2
Jonathan Villar,3B,CHC,CHC@ATL,1.22,4.98,3.83,,,,,,0.15,0.25,0.61,3.83,4.98,29
Rafael Ortega,RF,CHC,CHC@ATL,1.21,4.87,3.73,,,,,,0.21,0.24,0.51,3.73,4.87,11
Corey Dickerson,LF,STL,NYM@STL,1.2,4.46,3.45,,,,,,0.2,0.25,0.52,3.45,4.46,2
Alcides Escobar,SS,WAS,MIA@WAS,1.19,4.65,3.56,,,,,,0.19,0.32,0.49,3.56,4.65,2
Diego Castillo,3B,PIT,MIL@PIT,1.18,4.7,3.63,,,,,,0.2,0.24,0.52,3.63,4.7,10
Colin Moran,1B,CIN,SD@CIN,1.16,4.4,3.28,,,,,,0.29,0.2,0.39,3.28,4.4,14
Mike Zunino,C,TB,SEA@TB,1.15,4.93,3.6,,,,,,0.31,0.29,0.35,3.6,4.93,38
Tyler Wade,2B,LAA,CLE@LAA,1.13,4.81,3.6,,,,,,0.19,0.24,0.49,3.6,4.81,14
Robinson Chirinos,C,BAL,BAL@NYY,1.05,4.29,3.25,,,,,,0.2,0.18,0.41,3.25,4.29,1
Cal Raleigh,C,SEA,SEA@TB,1.01,4.19,3.19,,,,,,0.22,0.16,0.41,3.19,4.19,3
Yoshitomo Tsutsugo,1B,PIT,MIL@PIT,0.98,4.06,3.05,,,,,,0.23,0.21,0.4,3.05,4.06,5
Sergio Alcantara,SS,ARI,LAD@ARI,0.93,4.02,3.06,,,,,,0.19,0.21,0.39,3.06,4.02,null
Donovan Solano,2B,CIN,SD@CIN,0.86,3.22,2.51,,,,,,0.15,0.15,0.39,2.51,3.22,1
Roberto Perez,C,PIT,MIL@PIT,0.83,4.25,3.25,,,,,,0.17,0.18,0.45,3.25,4.25,3
