PLAYER,POS,TEAM,GAME,FP,FD EXP,DK EXP,INN,K,HA,ER,BBI,RBI,R,H,DK,FD,OWNERSHIP
Jorge Mateo,2B,BAL,BAL@NYY,1.23,5.29,4.06,,,,,,0.21,0.25,0.5,4.06,5.29,30
Jason Heyward,RF,CHC,CHC@ATL,1.23,4.75,3.7,,,,,,0.16,0.25,0.54,3.7,4.75,2
Ramon Urias,2B,BAL,BAL@NYY,1.22,5,3.89,,,,,,0.24,0.24,0.6,3.89,5,3
Tyler Wade,2B,LAA,CLE@LAA,1.2,5.1,3.84,,,,,,0.19,0.27,0.54,3.84,5.1,13
Diego Castillo,3B,PIT,MIL@PIT,1.18,4.71,3.6,,,,,,0.2,0.24,0.49,3.6,4.71,10
Jackie Bradley,CF,BOS,BOS@TOR,1.12,4.76,3.64,,,,,,0.18,0.23,0.49,3.64,4.76,2
Sergio Alcantara,SS,ARI,ARI@STL,1.1,4.4,3.35,,,,,,0.2,0.23,0.43,3.35,4.4,null
Robinson Chirinos,C,BAL,BAL@NYY,0.96,4.03,3.05,,,,,,0.18,0.17,0.37,3.05,4.03,1
Yoshitomo Tsutsugo,1B,PIT,MIL@PIT,0.94,3.97,2.97,,,,,,0.22,0.21,0.38,2.97,3.97,5
Roberto Perez,C,PIT,MIL@PIT,0.89,4.48,3.37,,,,,,0.22,0.17,0.43,3.37,4.48,3
